name,location,cuisines,highlights,cost_for_two,rating,budget_bucket
New Punjabi Veg Restaurant,Nagawara,"North Indian, Chinese",,400.0,2.9,low
Butthi - The Meal Basket,JP Nagar,"North Indian, Chinese",,400.0,,low
Atithi,HSR,"North Indian, Chinese, Street Food","Vegetable Biryani, Jalebi, Paneer Curry, Tandoori Paneer, Paneer Tikka, Gulab Jamun, Paratha",800.0,3.9,medium
New Royal Treat,Bannerghatta Road,"North Indian, Chinese","Roti, Chicken Biryani",350.0,2.8,low
Frosty Fills,Bellandur,"Desserts, Ice Cream",,250.0,,low
Joyfulmeal.com,HBR Layout,"North Indian, Biryani",,300.0,,low
Troll Cafe,Rajajinagar,Cafe,,400.0,3.4,low
Dakshin Spice,Marathahalli,"South Indian, North Indian, Chinese, Biryani","Mutton Keema Biryani, Panneer Butter Masala, Pot Biryani, Vegetable Biryani, Thali, Dal Makhani, Tangdi Kabab",800.0,3.8,medium
Ambika Biryani Corner,Rajajinagar,Biryani,,300.0,3.5,low
Drunken Monkey,Whitefield,"Beverages, Fast Food",,500.0,3.3,low
New Udupi Dharshini,BTM,"South Indian, Chinese",,150.0,,low
Magic Paratha Box,Marathahalli,North Indian,,400.0,,low
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages","Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Cottage Cheese Sandwich, Bruschetta Bites",400.0,4.6,low
Tandoor,MG Road,North Indian,"Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails",2100.0,3.9,high
1522 - The Pub,Malleshwaram,"Chinese, Continental, North Indian","Beer, Dragon Chicken, Mojito, Cocktails, Murgh Platter, Mocktails, Sea Food",1400.0,4.2,medium
Village Donne Biryani,Koramangala 5th Block,Biryani,,300.0,3.3,low
Akshaya Deluxe,New BEL Road,"North Indian, Chinese, Seafood, Biryani","Sea Food, Chicken Biryani, Naan, Neer Dosa, Chicken Curry, Mutton Biryani, Roti",500.0,4.0,low
Delitz Creamvilla Cafe,Bellandur,"Cafe, Desserts, Ice Cream","Waffles, Coffee, Nachos, Rolls, Sandwiches",600.0,4.0,medium
Magix's Parattha Roll,BTM,"Fast Food, North Indian, Chinese, Mughlai, Rolls","Rolls, Chicken Roll, Tandoori Chicken, Biryani, Chicken Lollipop, Paratha, Chicken Grill",400.0,3.8,low
Jordan Cafe,BTM,"North Indian, Beverages",,400.0,,low
Pind Balluchi,Brigade Road,"North Indian, Mughlai","Palak Paneer, Mango Lassi, Panner Tikka, Veg Platter, Dal Makhani, Chicken Rara, Malai Tikka",700.0,4.0,medium
Paradise,Indiranagar,"Biryani, North Indian, Kebab","Chicken Biryani, Hyderabadi Biryani, Mutton Biryani, Hydrabadi Biryani, Vegetable Biryani, Reshmi Kebab, Mutton Seekh Kabab",800.0,4.1,medium
Priyadarshini,Sarjapur Road,"South Indian, North Indian, Chinese",,400.0,3.8,low
Late Night,Marathahalli,"North Indian, Chinese",,500.0,3.0,low
Bharanis,Domlur,"Andhra, Biryani",,600.0,3.7,medium
Mid Night Hunting,Ejipura,"Fast Food, Italian","Burgers, Chicken Burger, Pasta, Chicken Pizza",300.0,3.7,low
New Ruchi Sagar,Marathahalli,"South Indian, North Indian, Chinese",,200.0,,low
BITEBOX,Marathahalli,"North Indian, Chinese, Mughlai, Desserts","Biryani, Roti, Thali, Sandwich, Salad, Gulab Jamun",300.0,4.5,low
Shree Guru Raghavendra Chats Chintamani Special,Bannerghatta Road,"Street Food, Fast Food",,200.0,3.6,low
Pizza Hut,Marathahalli,Pizza,"Pizza, Garlic Bread, Veg Supreme",750.0,2.2,medium
BOX8- Desi Meals,Electronic City,"North Indian, Mughlai, Fast Food","Butter Chicken, Dal Makhani, Brownie Chocolate, Sandwiches, Salad, Paratha, Rajma",500.0,4.2,low
Shaap,Koramangala 5th Block,"Kerala, Seafood","Appam, Kappa Biryani, Chicken Fry, Kallappam, Buttermilk, Beef Fry, Paratha",500.0,3.6,low
Atta Galata,Koramangala 5th Block,"Bakery, Beverages","Sandwiches, Masala Pav, Chicken Burger, Filter Coffee, Burgers, Masala Chai, French Fries",200.0,4.1,low
Haagen Dazs,Koramangala 7th Block,"Ice Cream, Desserts","Waffles, Chocolate Bomb, Belgium Chocolate, Chocolate Sundae, Chocolate Icecreams, Strawberry Cheesecake",800.0,3.9,medium
Maxpresso,Koramangala 7th Block,"Cafe, American, Italian, Beverages","Burgers, Coffee, Waffles, Mocktails, Pasta, Brownie Chocolate, Chicken Salami",700.0,4.1,medium
Sanky's Burger House,Hennur,"Burger, Fast Food","Burgers, Beef Burger, Cheesy Fries, Peri Peri Chicken Burger, Beef Patty, Oreo Shake, Steak Burger",300.0,4.3,low
9 Bowls,Koramangala 1st Block,"Healthy Food, Continental, North Indian, Chinese",,500.0,,low
Yumme,Bannerghatta Road,"Fast Food, Burger, Sandwich, Street Food",,250.0,,low
WYT RestroPub,MG Road,"North Indian, Chinese","Tandoori Chicken, Onion Rings, Masala Peanuts, Draught Beer, Panneer Butter Masala, Cocktails",1000.0,2.7,medium
Kombo King,Koramangala 4th Block,"North Indian, South Indian",,300.0,,low
Om's Cafe Prana,Koramangala 7th Block,"Cafe, Fast Food",,300.0,3.6,low
Nandanam Family Restaurant,BTM,"Kerala, Chinese, South Indian",,350.0,3.6,low
Chaat Express,HSR,"Fast Food, North Indian",,200.0,3.5,low
Hotel Fanoos,Richmond Road,"Arabian, Biryani, Rolls, Kebab","Rolls, Shawarma, Chicken Shawarama, Beef Shwarma, Haleem, Beef Seekh Roll, Chicken Roll",400.0,4.0,low
Sri Rama,Shivajinagar,South Indian,,200.0,3.2,low
The Cravery,JP Nagar,"Continental, Burger, Beverages, Cafe, Italian, Rolls",,500.0,2.6,low
X-tra Cafe,Brigade Road,"Cafe, Fast Food",,400.0,,low
The Chevron Brigade,Brigade Road,"Fast Food, Biryani, Chinese, Seafood",,1200.0,3.3,medium
Hungry Haters,JP Nagar,"Chinese, North Indian",,300.0,,low
Sofiya Cakes,BTM,"Bakery, Desserts",,300.0,,low
Qube Cafe,Koramangala 4th Block,"Cafe, Desserts","Pizza, Coffee, Burgers, Pasta, Tiramisu, Sandwiches, Tea",700.0,4.2,medium
Village - The Soul of India,Malleshwaram,"North Indian, South Indian","Buttermilk, Jalebi, Roti, Chaat, Noodles, Vegetable Biryani, Tea",1000.0,4.0,medium
Hotel Ruchi Priya,Wilson Garden,North Indian,,350.0,3.6,low
Vinny's,Domlur,"Burger, Desserts, Italian, Pizza, Salad","Pizza, Pasta, Mocktails, Tiramisu, Garlic Bread, Salsa, Raspberry Mojito",600.0,4.1,medium
Cakes And Crumbs,JP Nagar,Bakery,,350.0,3.4,low
Bakers Town,Kumaraswamy Layout,"Cafe, Continental, Fast Food","Freak Shake, Fries, Pasta Alfredo",650.0,3.8,medium
Xtreme Sports Bar,Sarjapur Road,"Continental, Chinese, North Indian","Lunch Buffet, Boti Kebab, Beer, Potato Wedges, Gulab Jamun, Pizza, Club Sandwich",1300.0,4.0,medium
The French Loaf,Bannerghatta Road,"Bakery, Desserts, Sandwich",,400.0,2.9,low
Rajan's Cafe,Domlur,"North Indian, Chinese, Fast Food","Coffee, Vegetable Biryani, Masala Chai, Roti",300.0,2.8,low
Spicy Andhra,Marathahalli,"Andhra, North Indian, Chinese",,600.0,2.9,medium
Cafe Choco Craze,Bannerghatta Road,"Cafe, Fast Food, Desserts",,400.0,3.7,low
Onesta,Marathahalli,"Pizza, Cafe, Italian","Ricotta Ravioli, Pasta, Bbq Chicken Pizza, Butter Chicken Pizza, Farmhouse Pizza, Mojito, Barbeque Chicken Pizza",600.0,4.6,medium
Juicemaker,Cunningham Road,"Beverages, Fast Food",,400.0,3.8,low
Fatima Bakery,Richmond Road,"Bakery, Fast Food",,300.0,3.7,low
Ghar Ka Khana,Koramangala 1st Block,North Indian,Thali,150.0,3.7,low
Meghana Foods Grand,Marathahalli,"Biryani, Andhra, North Indian, Seafood","Andhra Thali, Veg Thali, Lollipop Biryani, Chicken Boneless Biryani, Hyderabadi Biryani, Mutton Biryani, Vegetable Biryani",600.0,4.2,medium
Sri Jayalakshmi Bakery,Shanti Nagar,"Bakery, Beverages",,250.0,3.3,low
Happy Singh,Whitefield,"Chinese, North Indian","Deluxe Thali, Mango Lassi, Hara Bhara Kebab, Jumbo Lassi, Jal-jeera, Amritsari Paneer, Gulab Jamun",900.0,3.8,medium
Daily Bread,Koramangala 4th Block,"Bakery, Fast Food, Italian","Sandwiches, Sandwich, Coffee",600.0,2.7,medium
Taste Of The Nation,Banaswadi,North Indian,"Paneer Pasanda, Chicken Soup, Tandoori Chicken",650.0,3.0,medium
Odisha Kitchen,Marathahalli,"Oriya, North Indian, Chinese","Veg Thali, Fish Thali",500.0,3.1,low
Kanthari,Kalyan Nagar,"North Indian, Kerala, Chinese","Fish Fry, Chicken Curry, Duck Roast, Kerala Style Biryani",400.0,3.9,low
Mazedaar,HBR Layout,"North Indian, Chinese",,300.0,3.2,low
Five Star Chicken,Wilson Garden,"Fast Food, Burger",,300.0,3.5,low
Delhi Biryani Cafe,BTM,"North Indian, Biryani",,250.0,3.5,low
Mountain Spice,Koramangala 8th Block,Chinese,"Momos, Chicken Lollipop, Chicken Momo, Noodles, Chicken Thukpa",200.0,3.9,low
Barista,CV Raman Nagar,Cafe,,300.0,3.2,low
Bangarpet Chats Corner,Rajajinagar,Street Food,,150.0,3.3,low
30 Square,Koramangala 5th Block,"Tibetan, Nepalese, Momos","Veg Momos, Noodles, Cheese Momos, Jhol Momos, Wai Wai Bhel, Brownie, Chicken Momo",400.0,4.2,low
Stevie's,Malleshwaram,Cafe,"Pasta, Chicken Steak, Pizza, Pink Lemonade, Nachos, Burgers, Wings",500.0,4.0,low
Rolls On Wheels,BTM,Fast Food,,200.0,3.4,low
Navami Kitchen,Banaswadi,"Andhra, North Indian, Chinese, Seafood",,500.0,3.2,low
Happy Brew,Koramangala 5th Block,"Continental, American, Chinese, BBQ, Salad","Beer, Jalapeno Cheeseballs, Peri Peri Chicken Burger, Burgers, Nachos, Barbecue Chicken Wings, Cheesy Fries",1000.0,4.0,medium
Calcutta Chats,Vasanth Nagar,"Street Food, North Indian",,200.0,3.5,low
Chinese Food Point,KR Puram,"Chinese, Fast Food",,300.0,,low
Sri Sharana Basaveshwara Khanavali,BTM,South Indian,,200.0,,low
Seekers Cafe,BTM,"Italian, Continental",,500.0,3.6,low
Oh My Chaat,Frazer Town,Street Food,,300.0,3.1,low
Marahaba,Koramangala 6th Block,"Arabian, Mediterranean",,400.0,3.0,low
Sri Saravana Bhavan,BTM,South Indian,,200.0,3.8,low
Caperberry,Lavelle Road,"Spanish, Italian, Mediterranean, European, Salad","Salads, Martini, Tiramisu, Caviar, Ravioli, Cocktails, Wine",2200.0,4.6,high
Dilli Tadka,Electronic City,North Indian,,300.0,,low
New Kohinoor Hotel,Commercial Street,North Indian,,450.0,3.2,low
Harshi Super Sandwich,Basavanagudi,"Fast Food, Street Food","Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",150.0,3.8,low
Kaati Zone,Church Street,"Fast Food, Biryani, Rolls","Rolls, Chicken Tikka Roll, Cheese Roll",350.0,3.0,low
Donne Biriyani Mane,JP Nagar,"Biryani, Kebab",,250.0,,low
Speedbreaker,BTM,North Indian,,300.0,3.4,low
McDonald's,Brookefield,"Burger, Fast Food","Burgers, Mcmuffin, French Fries, Waffles, Pancakes, Mc Veggie, Coffee",500.0,3.0,low
WOW! Momo,Whitefield,"Tibetan, Momos",,400.0,2.9,low
Eatwell Restaurant,Sarjapur Road,"Biryani, Chinese, North Indian",,400.0,3.0,low
Sher-E-Punjab,Marathahalli,"North Indian, Chinese","Jeera Rice, Thali, Roti",400.0,3.4,low
Shri Ram Sweet Centre,BTM,"Street Food, Mithai","Samosa, Dhokla, Ladoo, Sweet Kachori, Onion Kachori, Ghee Jalebi",150.0,4.0,low
Nomadic Tandoor,New BEL Road,"Cafe, North Indian, Chinese, Continental",Biryani,700.0,3.7,medium
Tempteys,Indiranagar,"Desserts, Beverages","Gelato, Thick Shakes, Corn Flakes, Raspberry Shake, Brownie, Oreo Shake",300.0,4.1,low
Maestros Cafe,HBR Layout,"Biryani, Fast Food, Cafe, Coffee, Rolls, Wraps",,200.0,,low
Tree Tops Bar & Kitchen,Lavelle Road,"North Indian, Chinese, Continental, Italian","Cocktails, Pasta, Peri Peri Chicken Burger, Brownie, Jalapeno Poppers, Mocktails, Basil Pesto",1000.0,4.4,medium
Kanti Sweets,New BEL Road,"Mithai, Street Food","Rasmalai, Gulab Jamun",400.0,4.0,low
S.W.A.T Food Truck,Koramangala 5th Block,"American, Fast Food",,250.0,3.7,low
Thanco's Natural Ice Cream,Infantry Road,"Ice Cream, Desserts",,450.0,,low
Fuel Resto Bar,Richmond Road,"Finger Food, Mediterranean, North Indian","Cocktails, Dal Makhani, Paneer Tikka, Butter Chicken, Garlic Naan, Tequila, Fish",2000.0,4.2,high
Bombay Food Express,Shanti Nagar,"Street Food, Fast Food",,250.0,3.7,low
Cafe Idly,Frazer Town,"South Indian, Fast Food","Coffee, Idli, Masala Dosa, Burgers",200.0,3.7,low
Biryani Junction,Bommanahalli,"Biryani, North Indian, Chinese","Raita, Vegetable Biryani, Biryani Combo",450.0,2.3,low
Biryani Miya,Koramangala 4th Block,"Biryani, North Indian",Biryani,600.0,3.8,medium
Body Temple,BTM,Healthy Food,,500.0,3.3,low
Namma Madurai,"Varthur Main Road, Whitefield",South Indian,,200.0,3.6,low
Empire Restaurant,"Varthur Main Road, Whitefield","Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages","Roti, Shawarma, Tandoori Chicken, Paratha, Egg Noodles",400.0,3.6,low
Adyar Ananda Bhavan - Sweets,BTM,"Mithai, Desserts",,200.0,3.4,low
The IT Crowd,Whitefield,"North Indian, Burger, Sandwich, Chinese",,400.0,2.8,low
Birinz,HSR,"Biryani, Kebab, Fast Food","Gulab Jamun, Chicken Guntur, Mushroom Biryani, Chicken Kolhapuri, Paneer Biryani, Chicken Biryani",650.0,4.3,medium
Farzi Cafe,Lavelle Road,Modern Indian,"Appletini, Wheat Beer, Lamb Tacos, Cocktails, Martini, Stout, Sangria",1500.0,4.4,high
Cultch Resto Cafe,Marathahalli,Cafe,,600.0,3.7,medium
The Uptown,BTM,"Fast Food, Beverages",,300.0,,low
Meat And Eat,Koramangala 7th Block,"Fast Food, Burger","Burgers, Fries, Chicken Wings, Popcorn, Chicken Grill",500.0,3.6,low
Tandoor Box,Brookefield,"Mughlai, North Indian, Biryani","Dal Makhani, Butter Chicken, Tandoori Momos",850.0,3.5,medium
Gama Gama,Banashankari,South Indian,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",200.0,3.9,low
Punjabi Last Stand,Sarjapur Road,North Indian,,300.0,,low
Race Course Restaurant,Rajajinagar,"Chinese, North Indian, South Indian",,450.0,3.2,low
Ugadi,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean","Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha",700.0,2.9,medium
Punjab Di Rasoi,Whitefield,North Indian,,400.0,3.3,low
Maddy's Katti Cafe,Rajajinagar,"Fast Food, Beverages",,400.0,3.2,low
Punjabi Dawat,Bellandur,"North Indian, Chinese","Lassi, Naan, Chicken Biryani, Butter Chicken, Aloo Paratha, Manchurian, Paneer Tikka Masala",400.0,2.9,low
Gifts N Surprise,Electronic City,Bakery,,500.0,,low
Aramane Donne Biryani,JP Nagar,"Biryani, Fast Food",,300.0,,low
South Point Pub,Basavanagudi,"North Indian, Seafood, Chinese",,800.0,3.4,medium
Kerala Mess,Koramangala 1st Block,Kerala,,200.0,3.4,low
Equinox Bar - DoubleTree Suites By Hilton,Sarjapur Road,"Continental, Thai, Vietnamese, American, Chinese, North Indian, Finger Food",Cocktails,1900.0,3.9,high
Chettayees,BTM,"Kerala, North Indian, Chinese","Puttu Biryani, Egg Roast",400.0,3.4,low
A Today Thick Shakes,Koramangala 5th Block,Beverages,,200.0,3.2,low
Yummy Momos,JP Nagar,"Chinese, Tibetan, Fast Food",,200.0,3.2,low
Subway,HSR,"Salad, Fast Food","Veg Salad, Sandwich",600.0,3.1,medium
Chaatimes,Malleshwaram,"Street Food, Fast Food","Dabeli, Masala Poori, Misal Pav, Dahipuri, Papdi Chaat, Panipuri, Pav Bhaji",200.0,3.9,low
Sri Sai Bhavan,Brookefield,South Indian,,300.0,3.6,low
Sunehri,Richmond Road,South Indian,"Buttermilk, Thali, Breakfast Buffet, Vada, Pongal",500.0,3.8,low
RCS Kitchen,BTM,Continental,,500.0,3.3,low
Over The Top Terrace Lounge,Koramangala 5th Block,"Continental, North Indian","Nachos, Pasta, Cocktails, Khamiri Roti, Beer, Lamb, Burgers",1400.0,3.9,medium
Mahadii's,Kammanahalli,"Andhra, North Indian, Chinese","Sea Food, Andhra Meal, Mutton Biryani, Mutton Chops, Butter Naan, Noodles, Brownie",600.0,3.9,medium
Mohitesh Hut Roll,Banashankari,"Rolls, North Indian",,150.0,,low
Paprica,Marathahalli,"North Indian, Chinese","Mocktails, Gulab Jamun, Chilli Chicken, Biryani, Lunch Buffet",1200.0,2.6,medium
Innate,Sarjapur Road,Beverages,,,,high
Kanti Sweets,HSR,"Mithai, Street Food",,400.0,3.8,low
Popat,Indiranagar,North Indian,,300.0,3.2,low
Adithya Tiffin Centre,Shanti Nagar,North Indian,,200.0,,low
Pizza Stop,Lavelle Road,"Pizza, Italian","Pizza, Pasta, Garlic Bread, Nachos",600.0,3.5,medium
Akkad Bakkad,Electronic City,"North Indian, Chinese","Bhuna Chicken, Mutton Biryani, Paratha",600.0,3.9,medium
Zaikedar Kitchen,HSR,North Indian,,400.0,3.3,low
Foodlieious Multi Cuisine,Banashankari,North Indian,,100.0,,low
Shuchi Ruchi,Malleshwaram,"Chinese, North Indian, Street Food","Aloo Palya, Masala Poori, Panipuri, Rolls, Chaat, Benne Dosa, Dahipuri",350.0,4.0,low
Chung Wah,Koramangala 5th Block,"Chinese, Thai, Momos, Vietnamese","Noodles, Hunan Chicken, Momos, Spring Roll, Wonton Soup, Chicken Butter Garlic, Fried Rice Chicken",800.0,4.0,medium
Cinnamon,Seshadripuram,"North Indian, Asian, Continental",,1000.0,3.7,medium
Chill Magic,New BEL Road,"Juices, Beverages",,200.0,,low
Shanthi Sagar,Basaveshwara Nagar,"South Indian, North Indian, Chinese, Street Food, Beverages",,400.0,3.8,low
The Yogisthaan Cafe,Koramangala 2nd Block,"Cafe, Healthy Food, Salad, Beverages","Paratha, Chai, Poha, Quinoa Burger",600.0,4.1,medium
The Chocolate Heaven - Cakes,Bellandur,"Desserts, Bakery, Beverages",,600.0,,medium
New Ambur Hot Dum Biryani,Bannerghatta Road,Biryani,,200.0,,low
Indian Gola Co.,Koramangala 5th Block,Fast Food,,200.0,,low
Chilli Chicken,Brigade Road,Fast Food,,500.0,3.1,low
Slounge - Lemon Tree Hotel,Electronic City,Finger Food,Veg Platter,1500.0,3.8,high
Arham's Resto,Vasanth Nagar,"Chinese, North Indian, Fast Food",,250.0,,low
Arya Hungry?,Koramangala 7th Block,North Indian,"Chole, Kulcha, Mutton Curry, Paratha, Mint Raita, Chicken Curry, Dal Makhani",450.0,4.3,low
Chichaba's Taj,Basaveshwara Nagar,"Biryani, North Indian, Mughlai","Biryani, Butter Chicken, Phirni, Paya Soup, Bheja Fry, Panneer Butter Masala, Butter Naan",600.0,4.1,medium
Gokul Kuteera,Indiranagar,"North Indian, Chinese","Manchow Soup, Spring Roll, Masala Papad, Curd Rice, Malai Kofta, Roti, Thali",650.0,3.9,medium
Little Kolkata,Ejipura,"Bengali, North Indian","Chicken Curry, Fish, Thali, Rolls, Rasgulla, Chicken Biryani",500.0,3.9,low
Big Mummy,Indiranagar,"Fast Food, Biryani","Burgers, Raita, Fries, Chicken Noodle, Bbq Burger, Poha, Sandwiches",400.0,3.9,low
RICE BAR,Bannerghatta Road,"North Indian, Biryani",,500.0,3.1,low
Rim Naam - The Oberoi,MG Road,Thai,"Seafood Soup, Mocktails, Mushroom Salad, Thai Salad, Wine, Jasmine Rice, Thai Red Curry",3000.0,4.6,high
Some Mo',Koramangala 6th Block,"Momos, Fast Food",,200.0,,low
Aadhya Hotel,Basavanagudi,"South Indian, North Indian, Chinese, Biryani",,800.0,3.3,medium
Utsav Restaurant,Banashankari,"North Indian, Chinese",,300.0,3.8,low
R S Lunch Home,Shanti Nagar,South Indian,,300.0,3.4,low
Ambur Hot Dum Biryani,BTM,Biryani,,200.0,3.5,low
GFC Biryani,BTM,Biryani,,300.0,,low
Chinese Corner and Bengali Mess,Sanjay Nagar,"Chinese, Bengali",,300.0,3.5,low
Hashtag Cafe,Brigade Road,"Cafe, Continental, European, Italian",,700.0,2.8,medium
Rolls Corner,Basavanagudi,"Fast Food, Rolls",,150.0,3.6,low
New Kabab Zone,Bannerghatta Road,"North Indian, Chinese, Biryani, Rolls",,500.0,3.5,low
Malnad Military Hotel,BTM,"South Indian, Chinese",,350.0,,low
Luo Han,HSR,"Chinese, Thai","Thai Noodles, Singapore Noodles, Manchow Soup, Momos, Clear Soup, Spring Roll, Vegetarian",500.0,3.6,low
MiniMelts,Brigade Road,"Ice Cream, Desserts",,200.0,3.9,low
Mid-Night Crunch,HSR,"North Indian, Chinese",Rolls,400.0,3.7,low
Ambur Star Dum Biriyani,Wilson Garden,Biryani,,300.0,3.3,low
Millet Mama,Basavanagudi,"South Indian, Healthy Food",,200.0,3.9,low
Chutney Chang,Church Street,"North Indian, Chinese, BBQ","Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry",1500.0,4.2,high
37 China Town,Race Course Road,"Chinese, Thai, North Indian, South Indian, Continental",,900.0,3.5,medium
Shanmukha,Jayanagar,"Biryani, Andhra, North Indian, Chinese","Egg Biryani, Egg Chilli, Mutton Biryani, Hyderabadi Biryani, Naan, Raita, Shanmukha Biryani",800.0,4.3,medium
Biryani Pot,BTM,Biryani,"Hyderabadi Biryani, Vegetable Biryani, Mutton Biryani, Veg Dum Biryani, Chicken Boneless Biryani, Egg Biryani, Chicken Dum Biryani",500.0,3.8,low
Aubree,Shivajinagar,"Cafe, Bakery",,400.0,,low
Kittu's,Electronic City,North Indian,"Murgh Lababdar, Butter Chicken, Paneer Lababdar, Dal Makhani, Afghan Chicken, Chicken Achari Tikka, Lassi",750.0,4.2,medium
Pizza Stop,Banaswadi,"Pizza, Italian","Garlic Bread, Nachos, Pasta, Thin Crust Pizza, Manali Pizza, Hawaian Pizza",500.0,3.8,low
Indian Coffee House,Church Street,South Indian,"Mutton Cutlets, Filter Coffee, Masala Dosa, Omelette, Vada, Scrambled Eggs, Hot Coffee",200.0,3.9,low
Village Restaurant,Marathahalli,"Arabian, Chinese, Kerala, North Indian, Biryani","Naan, Kulcha, Panneer Butter Masala, Appam, Malabari Biryani, Tea, Al Faham Chicken",1000.0,3.6,medium
House Of Lassi,Bommanahalli,"Beverages, Fast Food",,250.0,3.6,low
Just Delhiwala,Bellandur,North Indian,"Chole, Lassi, Paratha",300.0,3.8,low
Aditya Sweets,Whitefield,"Mithai, Fast Food",,200.0,3.7,low
Royal Fast Food,Ejipura,"South Indian, Chinese",,300.0,,low
Hottey Smokey,JP Nagar,"American, Continental, Salad, Italian",,400.0,,low
Sakae Japanese Restaurant,Shanti Nagar,Japanese,"Sushi, Miso Soup, Steak, Tea, Ramen, Rolls, Tempura",1400.0,4.3,medium
Biriyani Adda,Rajajinagar,"Biryani, Fast Food",,350.0,3.1,low
Taj Hotel,Shivajinagar,"Mughlai, Chinese","Ghee Rice, Mutton Biryani, Seekh Kebab, Paratha, Tandoori Chicken, Kalmi Kebab",700.0,3.7,medium
Fish Chain,Kammanahalli,"Seafood, BBQ, Burger, Biryani",,300.0,3.5,low
Sai Canteen,Whitefield,"South Indian, North Indian, Street Food",,200.0,,low
Gallop Bar - Davanam Sarovar Portico Suites,Koramangala 2nd Block,Finger Food,,1600.0,3.5,high
AutoExpress - Hot Dogs,Whitefield,Fast Food,,300.0,3.5,low
Shaahi Mezbaan Restaurant,BTM,North Indian,,350.0,3.1,low
Swaada Healthy Kitchen,Banashankari,"Healthy Food, Juices, Sandwich",,350.0,,low
Hatti Punjab Di,Banaswadi,"North Indian, Chinese",,550.0,,low
Ambur Hot Dum Biryani,Old Airport Road,Biryani,,200.0,3.1,low
Special Malai Gola,BTM,Ice Cream,,200.0,,low
Uday Sweets,Koramangala 5th Block,"Mithai, Fast Food","Samosa, Poha, Rasgulla, Kachori",250.0,3.8,low
Kapoor's Biriyani,BTM,"Biryani, North Indian","Raita, Hyderabadi Biryani",400.0,3.3,low
McDonald's,Bannerghatta Road,"Burger, Fast Food","Burgers, Mocha Frappe, French Fries, Maharaja Mac, Oreo Shake, Egg Wrap",500.0,4.0,low
Venus Bake Point,Old Airport Road,Bakery,,500.0,3.5,low
Andhra Central,Marathahalli,Andhra,,400.0,3.1,low
Tea Brew,Indiranagar,"Cafe, Continental, Momos, Italian, North Indian","Momos, Wedges, Chai, Veg Club Sandwich, Masala Tea, Pasta, Waffles",500.0,4.1,low
Rasoiya,Sarjapur Road,"North Indian, Chinese, Momos",,450.0,3.5,low
Noodle Oodle,Whitefield,,,400.0,3.6,low
Combo Box,Koramangala 7th Block,"North Indian, Biryani, Chinese",,500.0,3.0,low
Tharavadu,HSR,"Chinese, North Indian, Kerala","Biryani, Fish Curry",400.0,3.8,low
Red Glow,Whitefield,"North Indian, Continental",,1200.0,3.7,medium
Leon Grill,Koramangala 5th Block,"Burger, Fast Food","Burgers, Peri Peri Chicken, Spicy Chicken, Grilled Lamb Burger, Chicken Burger, French Fries",500.0,4.3,low
Sri Udupi Food Hub,Jayanagar,"South Indian, North Indian, Chinese, Beverages","Filter Coffee, Masala Dosa, Idli, Vada",500.0,4.1,low
A1 Biriyani Point,Seshadripuram,Biryani,,200.0,3.0,low
Krem,Koramangala 5th Block,"Desserts, Ice Cream, Beverages, Sandwich","Churros, Baklava Ice Cream, Cheesecake, Chocolate Peanut Butter, Cheese Roll, Chocolate Sundae",450.0,4.1,low
Cafe Kaara,Ulsoor,"Cafe, Salad, Desserts, Pizza","Coffee, Cappuccino, Hot Chocolate, Sandwich, Tiramisu, Pasta, Fries",750.0,4.3,medium
Shreeji Restaurant,"ITPL Main Road, Whitefield","North Indian, Gujarati",,300.0,3.8,low
Lassi Shop,Brigade Road,"Beverages, Ice Cream",,200.0,3.7,low
Chef's Cap Chinese Cuisine Restaurant,Old Airport Road,Chinese,,400.0,3.9,low
AB's - Absolute Barbecues,,,,,,high
Spice Of Kolkata,Bellandur,"Bengali, Rolls, Chinese","Rolls, Biryani, Dum Aloo",400.0,2.8,low
Hotel Reddy Bhavan,HSR,"Biryani, North Indian, Chinese, Andhra",,300.0,3.4,low
Foxtrot,Marathahalli,"North Indian, Chinese, Continental, Momos","Cocktails, Mocktails, Mai Thai, Murgh Platter, Pizza, Soya Chaap, Keema Samosa",1200.0,4.4,medium
Yauatcha,MG Road,"Chinese, Asian, Cantonese, Tea","Dumplings, Noodles, Cocktails, Mocktails, Mango Mascarpone Gateau, Chocolate Hazelnut Mousse, Macaroon",2800.0,4.6,high
Lenny's Burgers,Whitefield,"Burger, Fast Food",,500.0,,low
Homifoo,BTM,North Indian,,300.0,,low
Kwality Wall's Swirl's,Marathahalli,"Ice Cream, Desserts",,200.0,2.9,low
Krispy Kreme,Richmond Road,"Desserts, Beverages","Donut, Coffee",300.0,4.0,low
